Datum;Eroeffnung;Hoch;Tief;Schluss;Performance;Volumen;Abstand Hoch/Tief
05.01.1970;628,48;628,48;628,48;628,48;-0,10%;0;0
06.01.1970;622,38;622,38;622,38;622,38;-0,97%;0;0
07.01.1970;623,38;623,38;623,38;623,38;0,16%;0;0
08.01.1970;623,83;623,83;623,83;623,83;0,07%;0;0
09.01.1970;618,7;618,7;618,7;618,7;-0,82%;0;0
12.01.1970;612,89;612,89;612,89;612,89;-0,94%;0;0
13.01.1970;607,28;607,28;607,28;607,28;-0,92%;0;0
14.01.1970;602,11;602,11;602,11;602,11;-0,85%;0;0
15.01.1970;591,69;591,69;591,69;591,69;-1,73%;0;0
16.01.1970;581,76;581,76;581,76;581,76;-1,68%;0;0
19.01.1970;579,79;579,79;579,79;579,79;-0,34%;0;0
20.01.1970;580,76;580,76;580,76;580,76;0,17%;0;0
21.01.1970;590,17;590,17;590,17;590,17;1,62%;0;0
22.01.1970;592,92;592,92;592,92;592,92;0,47%;0;0
23.01.1970;590,17;590,17;590,17;590,17;-0,46%;0;0
26.01.1970;590,84;590,84;590,84;590,84;0,11%;0;0
27.01.1970;592,55;592,55;592,55;592,55;0,29%;0;0
28.01.1970;593,33;593,33;593,33;593,33;0,13%;0;0
29.01.1970;584,52;584,52;584,52;584,52;-1,48%;0;0
30.01.1970;582,17;582,17;582,17;582,17;-0,40%;0;0
02.02.1970;574,55;574,55;574,55;574,55;-1,31%;0;0
03.02.1970;571,65;571,65;571,65;571,65;-0,50%;0;0
04.02.1970;575,96;575,96;575,96;575,96;0,75%;0;0
05.02.1970;576,22;576,22;576,22;576,22;0,05%;0;0
06.02.1970;583,55;583,55;583,55;583,55;1,27%;0;0
09.02.1970;585,48;585,48;585,48;585,48;0,33%;0;0
11.02.1970;580,98;580,98;580,98;580,98;-0,77%;0;0
12.02.1970;582,51;582,51;582,51;582,51;0,26%;0;0
13.02.1970;580,39;580,39;580,39;580,39;-0,36%;0;0
16.02.1970;576,37;576,37;576,37;576,37;-0,69%;0;0
17.02.1970;576,41;576,41;576,41;576,41;0,01%;0;0
18.02.1970;571,31;571,31;571,31;571,31;-0,88%;0;0
19.02.1970;576,48;576,48;576,48;576,48;0,90%;0;0
20.02.1970;576,04;576,04;576,04;576,04;-0,08%;0;0
23.02.1970;577,41;577,41;577,41;577,41;0,24%;0;0
24.02.1970;575,11;575,11;575,11;575,11;-0,40%;0;0
25.02.1970;569,79;569,79;569,79;569,79;-0,93%;0;0
26.02.1970;567,63;567,63;567,63;567,63;-0,38%;0;0
27.02.1970;564,54;564,54;564,54;564,54;-0,54%;0;0
02.03.1970;558,59;558,59;558,59;558,59;-1,05%;0;0
03.03.1970;549,37;549,37;549,37;549,37;-1,65%;0;0
04.03.1970;553,39;553,39;553,39;553,39;0,73%;0;0
05.03.1970;558,7;558,7;558,7;558,7;0,96%;0;0
06.03.1970;561,27;561,27;561,27;561,27;0,46%;0;0
09.03.1970;551,04;551,04;551,04;551,04;-1,82%;0;0
10.03.1970;555,1;555,1;555,1;555,1;0,74%;0;0
11.03.1970;560,01;560,01;560,01;560,01;0,88%;0;0
12.03.1970;568,52;568,52;568,52;568,52;1,52%;0;0
13.03.1970;575,25;575,25;575,25;575,25;1,18%;0;0
16.03.1970;569,45;569,45;569,45;569,45;-1,01%;0;0
17.03.1970;570,12;570,12;570,12;570,12;0,12%;0;0
18.03.1970;569,42;569,42;569,42;569,42;-0,12%;0;0
19.03.1970;563,61;563,61;563,61;563,61;-1,02%;0;0
20.03.1970;560,94;560,94;560,94;560,94;-0,47%;0;0
23.03.1970;557,44;557,44;557,44;557,44;-0,62%;0;0
24.03.1970;559,19;559,19;559,19;559,19;0,31%;0;0
25.03.1970;560,38;560,38;560,38;560,38;0,21%;0;0
26.03.1970;567;567;567;567;1,18%;0;0
31.03.1970;572,65;572,65;572,65;572,65;1,00%;0;0
01.04.1970;573,92;573,92;573,92;573,92;0,22%;0;0
02.04.1970;574,62;574,62;574,62;574,62;0,12%;0;0
03.04.1970;571,76;571,76;571,76;571,76;-0,50%;0;0
06.04.1970;572,76;572,76;572,76;572,76;0,17%;0;0
07.04.1970;579,61;579,61;579,61;579,61;1,20%;0;0
08.04.1970;582,66;582,66;582,66;582,66;0,53%;0;0
09.04.1970;581,24;581,24;581,24;581,24;-0,24%;0;0
10.04.1970;580,46;580,46;580,46;580,46;-0,13%;0;0
13.04.1970;575,89;575,89;575,89;575,89;-0,79%;0;0
14.04.1970;567,15;567,15;567,15;567,15;-1,52%;0;0
15.04.1970;574,47;574,47;574,47;574,47;1,29%;0;0
16.04.1970;571,13;571,13;571,13;571,13;-0,58%;0;0
17.04.1970;561,75;561,75;561,75;561,75;-1,64%;0;0
20.04.1970;562,31;562,31;562,31;562,31;0,10%;0;0
21.04.1970;566,92;566,92;566,92;566,92;0,82%;0;0
22.04.1970;562,16;562,16;562,16;562,16;-0,84%;0;0
23.04.1970;558,26;558,26;558,26;558,26;-0,69%;0;0
24.04.1970;550,86;550,86;550,86;550,86;-1,33%;0;0
27.04.1970;540,81;540,81;540,81;540,81;-1,82%;0;0
28.04.1970;532,59;532,59;532,59;532,59;-1,52%;0;0
29.04.1970;524,11;524,11;524,11;524,11;-1,59%;0;0
30.04.1970;532,89;532,89;532,89;532,89;1,68%;0;0
04.05.1970;530,81;530,81;530,81;530,81;-0,39%;0;0
05.05.1970;532,74;532,74;532,74;532,74;0,36%;0;0
